"","company","streetadd","place","state","zip"
"1","Walmart","702 S.W. Eighth St.","Bentonville","Arkansas","72716"
"2","Exxon Mobil","5959 Las Colinas Blvd.","Irving","Texas","75039"
"3","Chevron","6001 Bollinger Canyon Rd.","San Ramon","California","94583"
"4","Berkshire Hathaway","3555 Farnam St.","Omaha","Nebraska","68131"
"5","Apple","1 Infinite Loop","Cupertino","California","95014"
"6","General Motors","300 Renaissance Center","Detroit","Michigan","48265"
"7","Phillips 66","3010 Briarpark Dr.","Houston","Texas","77042"
"8","General Electric","3135 Easton Turnpike","Fairfield","Connecticut","6828"
"9","Ford Motor","1 American Rd.","Dearborn","Michigan","48126"
"10","CVS Health","1 CVS Dr.","Woonsocket","Rhode Island","2895"
"11","McKesson","1 Post St.","San Francisco","California","94104"
"12","AT&T","208 S. Akard St.","Dallas","Texas","75202"
"13","Valero Energy","1 Valero Way","San Antonio","Texas","78249"
"14","UnitedHealth Group","9900 Bren Rd. E.","Minnetonka","Minnesota","55343"
"15","Verizon","140 West St.","New York","New York","10007"
"16","AmerisourceBergen","1300 Morris Dr.","Chesterbrook","Pennsylvania","19087"
"17","Fannie Mae","3900 Wisconsin Ave. N.W.","Washington","District of Columbia","20016"
"18","Costco","999 Lake Dr.","Issaquah","Washington","98027"
"19","HP","3000 Hanover St.","Palo Alto","California","94304"
"20","Kroger","1014 Vine St.","Cincinnati","Ohio","45202"
"21","JP Morgan Chase","270 Park Ave.","New York","New York","10017"
"22","Express Scripts Holding","1 Express Way","St. Louis","Missouri","63121"
"23","Bank of America Corp.","100 N. Tryon St.","Charlotte","North Carolina","28255"
"24","IBM","1 New Orchard Rd.","Armonk","New York","10504"
"25","Marathon Petroleum","539 S. Main St.","Findlay","Ohio","45840"
"26","Cardinal Health","7000 Cardinal Place","Dublin","Ohio","43017"
"27","Boeing","100 N. Riverside Plaza","Chicago","Illinois","60606"
"28","Citigroup","399 Park Ave.","New York","New York","10022"
"29","Amazon.com","410 Terry Ave. N.","Seattle","Washington","98109"
"30","Wells Fargo","420 Montgomery St.","San Francisco","California","94163"
"31","Microsoft","1 Microsoft Way","Redmond","Washington","98052"
"32","Procter & Gamble","1 Procter & Gamble Plaza","Cincinnati","Ohio","45202"
"33","Home Depot","2455 Paces Ferry Rd. N.W.","Atlanta","Georgia","30339"
"34","Archer Daniels Midland","4666 Faries Pkwy.","Decatur","Illinois","62526"
"35","Walgreens","108 Wilmot Rd.","Deerfield","Illinois","60015"
"36","Target","1000 Nicollet Mall","Minneapolis","Minnesota","55403"
"37","Johnson & Johnson","1 Johnson & Johnson Plaza","New Brunswick","New Jersey","8933"
"38","Anthem","120 Monument Circle","Indianapolis","Indiana","46204"
"39","MetLife","200 Park Ave.","New York","New York","10166"
"40","Google","1600 Amphitheatre Pkwy.","Mountain View","California","94043"
"41","State Farm Insurance Cos.","1 State Farm Plaza","Bloomington","Illinois","61710"
"42","Freddie Mac","8200 Jones Branch Dr.","McLean","Virginia","22102"
"43","Comcast","1 Comcast Center","Philadelphia","Pennsylvania","19103"
"44","PepsiCo","700 Anderson Hill Rd.","Purchase","New York","10577"
"45","United Technologies","1 Financial Plaza","Hartford","Connecticut","6101"
"46","AIG","175 Water St.","New York","New York","10038"
"47","UPS","55 Glenlake Pkwy. N.E.","Atlanta","Georgia","30328"
"48","Dow Chemical","2030 Dow Center","Midland","Michigan","48674"
"49","Aetna","151 Farmington Ave.","Hartford","Connecticut","6156"
"50","Lowe's","1000 Lowe's Blvd.","Mooresville","North Carolina","28117"
"51","ConocoPhillips","600 N. Dairy Ashford St.","Houston","Texas","77079"
"52","Intel","2200 Mission College Blvd.","Santa Clara","California","95054"
"53","Energy Transfer Equity","3738 Oak Lawn Ave.","Dallas","Texas","75219"
"54","Caterpillar","100 N.E. Adams St.","Peoria","Illinois","61629"
"55","Prudential Financial","751 Broad St.","Newark","New Jersey","7102"
"56","Pfizer","235 E. 42nd St.","New York","New York","10017"
"57","Disney","500 S. Buena Vista St.","Burbank","California","91521"
"58","Humana","500 W. Main St.","Louisville","Kentucky","40202"
"59","Enterprise Products Partners","1100 Louisiana St.","Houston","Texas","77002"
"60","Cisco Systems","170 W. Tasman Dr.","San Jose","California","95134"
"61","Sysco","1390 Enclave Pkwy.","Houston","Texas","77077"
"62","Ingram Micro","1600 E. St. Andrew Place","Santa Ana","California","92705"
"63","Coca-Cola","1 Coca-Cola Plaza","Atlanta","Georgia","30313"
